Range,Drop,DropAfterzero,DropAVG,MILs
0.3333333333333333,-1.5000706529393082,-1.4732668333128152,-1.4866687431260617,0.0
50.333333333333336,-3.1186615140608773,0.8675347543044396,-1.1255633798782188,-0.47877193946161123
100.33333333333333,-7.9626772529546646,-0.016676738453115958,-3.9896769957038902,0.00461703722400774
150.33333333333334,-16.078906517982727,-4.173077929360243,-10.125992223671485,0.7710787009165267
200.33333333333334,-27.515280226553745,-11.649580256499226,-19.582430241526485,1.6153050827092659
250.33333333333334,-42.32091099192179,-22.495275522090886,-32.40809325700634,2.4961468621938394
300.3333333333333,-60.546134317114664,-36.76047750297447,-48.653305910044566,3.3999701723061846
350.3333333333333,-82.24255165377531,-54.49676503810721,-68.36965834594126,4.321024820655504
400.3333333333333,-107.46307543014858,-75.7570270347795,-91.61005123246403,5.2565242183444
450.3333333333333,-136.26197615941538,-100.5955095423617,-118.42874285088854,6.2050030559068405
500.3333333333333,-168.6949317470646,-129.06786501971465,-148.88139838338964,7.165659838980382
550.3333333333334,-204.81907912407874,-161.2312039249729,-183.02514152452582,8.13805794089304
600.3333333333334,-244.6930683414583,-197.14414876377248,-220.91860855261538,9.121976159715551
650.3333333333334,-288.37711927100787,-236.86689074095722,-262.62200500598254,10.11732832483159
700.3333333333334,-335.93308106752517,-280.46124917085365,-308.19716511918944,11.124117450850928
750.3333333333334,-387.42449455858514,-327.9907338121818,-357.7076141853835,12.142408330082251
800.3333333333334,-442.9166577400014,-379.52061030551846,-411.21863402275994,13.172310506230684
850.3333333333334,-502.47669456807307,-435.11796890422977,-468.7973317361514,14.213967362610406
900.3333333333334,-566.1736272537024,-494.85179670374384,-530.5127119787231,15.267548954206585
950.3333333333334,-634.0784522787848,-558.793053589328,-596.4357529340564,16.3332472111928
1000.3333333333334,-706.2642203718177,-627.014752139063,-666.6394862554404,17.411272690743726
1050.3333333333333,-782.8061206977128,-699.5920417367189,-741.1990812172158,18.50185236794454
1100.3333333333333,-863.7815695364458,-776.6022971688649,-820.1919333526553,19.60522814220097
1150.3333333333333,-949.2703037465886,-858.1252120019325,-903.6977578742606,20.72165584859298
1200.3333333333333,-1039.354479333095,-944.2428970582466,-991.7986881956708,21.851404634320254
1250.3333333333333,-1134.118775464249,-1035.0399843355501,-1084.5793798998995,22.99475660569515
